queryIssue,directI,parentI,gparentI,parentA,gparentA,zoek1,,,,
pfas,neg,klimaatMilieu,issue,,,,,,,
plastic,neg,klimaatMilieu,issue,,,,,,,
radioactie*,neg,klimaatMilieu,issue,,,,,,,
recycl*,pos,klimaatMilieu,issue,,,,,,,
scooter,neg,klimaatMilieu,issue,,,,,,,
smelt,neg,klimaatMilieu,issue,,,,,,,
smeltende ijskap*,neg,klimaatMilieu,issue,,,,,,,
snelfietspad*,pos,klimaatMilieu,issue,,,,,,,
stikstofdepositie,neg,klimaatMilieu,issue,,,,,,,
stikstofdioxide*,neg,klimaatMilieu,issue,,,,,,,
stikstofneerslag,neg,klimaatMilieu,issue,,,,,,,
stikstofoxide*,neg,klimaatMilieu,issue,,,,,,,
stikstofuitstoot,neg,klimaatMilieu,issue,,,,,,,
stiltegebied,pos,klimaatMilieu,issue,,,,,,,
temperatuurstijging,neg,klimaatMilieu,issue,,,,,,,
trein,pos,klimaatMilieu,issue,,,,,,,
treinverbinding*,pos,klimaatMilieu,issue,,,,,,,
turbines,pos,klimaatMilieu,issue,,,,,,,
uitlaatgassen,neg,klimaatMilieu,issue,,,,,,,
uitstoot,neg,klimaatMilieu,issue,,,,,,,
Urgenda,pos,klimaatMilieu,issue,belangengroep,society,,,,,
veenbrand*,pos,klimaatMilieu,issue,,,,,,,
verduurza*,pos,klimaatMilieu,issue,,,,,,,
vervuil*,neg,klimaatMilieu,issue,,,,,,,
vuilstort,neg,klimaatMilieu,issue,,,,,,,
warmtepomp*,pos,klimaatMilieu,issue,,,,,,,
waterstofcentrale*,pos,klimaatMilieu,issue,,,,,,,
weidevogels,pos,klimaatMilieu,issue,,,,,,,
windmolen*,pos,klimaatMilieu,issue,,,,,,,
windturbine*,pos,klimaatMilieu,issue,,,,,,,
zeespiegelstijging,neg,klimaatMilieu,issue,,,,,,,
zonne-energie,pos,klimaatMilieu,issue,,,,,,,
zonnepane*,pos,klimaatMilieu,issue,,,,,,,
zonnepark*,pos,klimaatMilieu,issue,,,,,,,
zonneweide*,pos,klimaatMilieu,issue,,,,,,,
*haat,neg,normenWaarden,issue,,,,,,,
abortus*,neg,normenWaarden,issue,,,,,,,
antiracist*,pos,normenWaarden,issue,,,,,,,
euthanas*,neg,normenWaarden,issue,,,,,,,
familie,pos,normenWaarden,issue,burgers,society,,,,,
fatsoen,pos,normenWaarden,issue,,,,,,,
foetus,pos,normenWaarden,issue,,,,,,,
gezin,pos,normenWaarden,issue,burgers,society,,,,,
huwelijk*,pos,normenWaarden,issue,,,,,,,
levenseinde,neg,normenWaarden,issue,,,,,,,
normaal,pos,normenWaarden,issue,,,,,,,
normen,pos,normenWaarden,issue,,,,,,,
ongeboren leven,pos,normenWaarden,issue,,,,,,,
racisme,neg,normenWaarden,issue,,,,,,,
racist*,neg,normenWaarden,issue,,,,,,,
respect,pos,normenWaarden,issue,,,,,,,
saamhorigheid,pos,normenWaarden,issue,,,,,,,
suicid*,neg,normenWaarden,issue,,,,,,,
tolerant*,pos,normenWaarden,issue,,,,,,,
waarden,pos,normenWaarden,issue,,,,,,,
zelfbeschikking*,pos,normenWaarden,issue,,,,,,,
zelfdoding*,neg,normenWaarden,issue,,,,,,,
aardrijkskunde,pos,OenW,issue,,,,,,,
analfabe*,neg,OenW,issue,,,,,,,
atheneum,pos,OenW,issue,,,,,,,
basisonderwijs,pos,OenW,issue,,,,,,,
basisscho*,pos,OenW,issue,,,,,,,
beroepsopleiding*,pos,OenW,issue,,,,,,,
cito,pos,OenW,issue,,,,,,,
colleges,pos,OenW,issue,,,,,,,
curriculum,pos,OenW,issue,,,,,,,
cursus,pos,OenW,issue,,,,,,,
deskundige*,pos,OenW,issue,expert,society,,,,,
digibe*,neg,OenW,issue,,,,,,,
domkop*,neg,OenW,issue,,,,,,,
dyslex*,neg,OenW,issue,,,,,,,
educatie*,pos,OenW,issue,,,,,,,
eindexamen*,pos,OenW,issue,,,,,,,
examens*,pos,OenW,issue,,,,,,,
expert*,pos,OenW,issue,expert,society,,,,,
geschiedenisond*,pos,OenW,issue,,,,,,,
gymnasi*,pos,OenW,issue,,,,,,,
HAVO,pos,OenW,issue,,,,,,,
hoogleraar,pos,OenW,issue,expert,society,,,,,
kennis,pos,OenW,issue,,,,,,,
kennisland,pos,OenW,issue,,,,,,,
kleuteronderwijs,pos,OenW,issue,,,,,,,
leerachterstand*,neg,OenW,issue,,,,,,,
leergang,pos,OenW,issue,,,,,,,
leerling*,pos,OenW,issue,,,,,,,
leerplan,pos,OenW,issue,,,,,,,
leraar,pos,OenW,issue,,,,,,,
leraren,pos,OenW,issue,,,,,,,
lerarentekort,neg,OenW,issue,,,,,,,
lessen,pos,OenW,issue,,,,,,,
lesuitval,neg,OenW,issue,,,,,,,
onderricht*,pos,OenW,issue,,,,,,,
onderwijs*,pos,OenW,issue,,,,,,,
onderwijzer*,pos,OenW,issue,,,,,,,
onderzoek*,pos,OenW,issue,expert,society,,,,,
ontdekking*,pos,OenW,issue,,,,,,,
opleiding*,pos,OenW,issue,,,,,,,
professor*,pos,OenW,issue,expert,society,,,,,
rekenen,pos,OenW,issue,,,,,,,
rekenond*,pos,OenW,issue,,,,,,,
research,pos,OenW,issue,,,,,,,
ROC,pos,OenW,issue,,,,,,,
scholen*,pos,OenW,issue,,,,,,,
scholier*,pos,OenW,issue,,,,,,,
scholing,pos,OenW,issue,,,,,,,
school*,pos,OenW,issue,,,,,,,
science,pos,OenW,issue,,,,,,,
studie,pos,OenW,issue,,,,,,,
studieachterstand,neg,OenW,issue,,,,,,,
studieschuld*,neg,OenW,issue,,,,,,,
studie-uitval,neg,OenW,issue,,,,,,,
studievertraging,neg,OenW,issue,,,,,,,
studievoortgang,pos,OenW,issue,,,,,,,
taalachterstand*,neg,OenW,issue,,,,,,,
taalonder*,pos,OenW,issue,,,,,,,
tentamen*,pos,OenW,issue,,,,,,,
thuisonderwij*,pos,OenW,issue,,,,,,,
uitvinding*,pos,OenW,issue,,,,,,,
universiteit,pos,OenW,issue,,,,,,,
vinding*,pos,OenW,issue,,,,,,,
voortgezet onderwijs,pos,OenW,issue,,,,,,,
wetenschap*,pos,OenW,issue,expert,society,,,,,
agrarische sector,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
bedrijfsinvestering*,pos,ondernemingsklimaat,issue,,,,,,,
bedrijfsklimaat,pos,ondernemingsklimaat,issue,,,,,,,
bedrijfsleven,pos,ondernemingsklimaat,issue,,,,,,,
bedrijven,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
binnenvaart,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
boeren,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
bonus*,pos,ondernemingsklimaat,issue,,,,,,,
café*,pos,ondernemingsklimaat,issue,,,corona* covid19,,,,
deregulering,pos,ondernemingsklimaat,issue,,,,,,,
detailhandel,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
dienstensector,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
evenementensector,pos,ondernemingsklimaat,issue,bedrijven,society,corona* covid19,,,,
export,pos,ondernemingsklimaat,issue,,,,,,,
exportsubsidie*,pos,ondernemingsklimaat,issue,,,,,,,
exportvergunning*,pos,ondernemingsklimaat,issue,,,,,,,
farmaceut*,pos,ondernemingsklimaat,issue,,,,,,,
handel,pos,ondernemingsklimaat,issue,,,,,,,
handelsbevordering*,pos,ondernemingsklimaat,issue,,,,,,,
handelsoorlog*,neg,ondernemingsklimaat,issue,,,,,,,
handelsverdrag*,pos,ondernemingsklimaat,issue,,,,,,,
horeca,pos,ondernemingsklimaat,issue,bedrijven,society,corona* covid19,,,,
industrie,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
intensieve landbouw*,pos,ondernemingsklimaat,issue,,,,,,,
intensieve vee*,pos,ondernemingsklimaat,issue,,,,,,,
internetfirma*,pos,ondernemingsklimaat,issue,,,,,,,
investering*,pos,ondernemingsklimaat,issue,,,,,,,
invoertarie*,neg,ondernemingsklimaat,issue,,,,,,,
kapitalis*,pos,ondernemingsklimaat,issue,,,,,,,
kleinbedrijf,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
koophandel,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
landbouw,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
libera*,pos,ondernemingsklimaat,issue,,,,,,,
loonsubsidie*,pos,ondernemingsklimaat,issue,,,,,,,
maakindustrie,pos,ondernemingsklimaat,issue,,,,,,,
megastal*,pos,ondernemingsklimaat,issue,,,,,,,
MKB,pos,ondernemingsklimaat,issue,belangengroep,society,,,,,
multinational*,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
neolibera*,pos,ondernemingsklimaat,issue,,,,,,,
omzet*,pos,ondernemingsklimaat,issue,,,,,,,
omzetverlies,neg,ondernemingsklimaat,issue,,,,,,,
ondernemers,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
onderneming*,pos,ondernemingsklimaat,issue,,,,,,,
ondernemingsklimaat,pos,ondernemingsklimaat,issue,,,,,,,
ontslagboete*,neg,ondernemingsklimaat,issue,,,,,,,
orderporteuille,pos,ondernemingsklimaat,issue,,,,,,,
pharmateuticals,pos,ondernemingsklimaat,issue,,,,,,,
retail*,pos,ondernemingsklimaat,issue,,,,,,,
scheepvaart*,pos,ondernemingsklimaat,issue,,,,,,,
sportscho*,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
steunmaatregel*,pos,ondernemingsklimaat,issue,,,corona* covid19,,,,
steunpakket,pos,ondernemingsklimaat,issue,,,corona* covid19,,,,
steunpot,pos,ondernemingsklimaat,issue,,,,,,,
subsidie*,pos,ondernemingsklimaat,issue,,,,,,,
techbedrijven,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
uitvoer,pos,ondernemingsklimaat,issue,,,,,,,
veestapel,pos,ondernemingsklimaat,issue,,,,,,,
verkoop,pos,ondernemingsklimaat,issue,,,,,,,
verkopen,pos,ondernemingsklimaat,issue,,,,,,,
vermogenspositie,pos,ondernemingsklimaat,issue,,,,,,,
verzekeraar*,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
visser*,pos,ondernemingsklimaat,issue,VVD,government,,,,,
VNO,pos,ondernemingsklimaat,issue,belangengroep,society,,,,,
vrijhandel,pos,ondernemingsklimaat,issue,,,,,,,
werkgever*,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
winkelier*,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
winst*,pos,ondernemingsklimaat,issue,,,,,,,
woningcorporatie*,pos,ondernemingsklimaat,issue,semiOverheid,government,,,,,
zelfstandigen,pos,ondernemingsklimaat,issue,burgers,society,,,,,
zorgondernemer*,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
zorgverzekeraar*,pos,ondernemingsklimaat,issue,bedrijven,society,,,,,
artsen zonder grenzen,pos,ontwikHulp,issue,belangengroep,society,,,,,
cordaid,pos,ontwikHulp,issue,belangengroep,society,,,,,
dekolonisatie,pos,ontwikHulp,issue,,,,,,,
derde wereld*,pos,ontwikHulp,issue,land,buitenland,,,,,
ICTO,pos,ontwikHulp,issue,,,,,,,
kolonialisme,neg,ontwikHulp,issue,,,,,,,
noodhulp,pos,ontwikHulp,issue,,,,,,,
ontwikkelingsh*,pos,ontwikHulp,issue,,,,,,,
ontwikkelingslanden,pos,ontwikHulp,issue,land,buitenland,,,,,
ontwikkelingsorg*,pos,ontwikHulp,issue,belangengroep,society,,,,,
ontwikkelingss*,pos,ontwikHulp,issue,,,,,,,
unicef,pos,ontwikHulp,issue,,,,,,,
afluister*,pos,ontwikkelingCrim,issue,,,,,,,
afpersing,pos,ontwikkelingCrim,issue,,,,,,,
agressie,pos,ontwikkelingCrim,issue,,,,,,,
bekogel*,pos,ontwikkelingCrim,issue,,,,,,,
belagen,pos,ontwikkelingCrim,issue,,,,,,,
bende,pos,ontwikkelingCrim,issue,,,,,,,
bommelding*,pos,ontwikkelingCrim,issue,,,,,,,
brandje*,pos,ontwikkelingCrim,issue,,,,,,,
brandstichting,pos,ontwikkelingCrim,issue,,,,,,,
cocainehandel,pos,ontwikkelingCrim,issue,,,,,,,
corrupt*,pos,ontwikkelingCrim,issue,,,,,,,
criminaliteit,pos,ontwikkelingCrim,issue,,,,,,,
crimine*,pos,ontwikkelingCrim,issue,burgers,society,,,,,
cybercrime,pos,ontwikkelingCrim,issue,,,,,,,
dealer,pos,ontwikkelingCrim,issue,burgers,society,,,,,
drugs*,pos,ontwikkelingCrim,issue,,,,,,,
fraud*,pos,ontwikkelingCrim,issue,,,,,,,
geplunderd*,pos,ontwikkelingCrim,issue,,,,,,,
geteisem*,pos,ontwikkelingCrim,issue,,,,,,,
geweld*,pos,ontwikkelingCrim,issue,,,,,,,
hack*,pos,ontwikkelingCrim,issue,,,,,,,
harddrugs*,pos,ontwikkelingCrim,issue,,,,,,,
hooligan*,pos,ontwikkelingCrim,issue,burgers,society,,,,,
illegaal,pos,ontwikkelingCrim,issue,,,,,,,
illegitiem*,pos,ontwikkelingCrim,issue,,,,,,,
ingegooid,pos,ontwikkelingCrim,issue,,,,,,,
kinderhandel,pos,ontwikkelingCrim,issue,,,,,,,
kindermisbruik,pos,ontwikkelingCrim,issue,,,,,,,
losgeld,pos,ontwikkelingCrim,issue,,,,,,,
mensenhandel,pos,ontwikkelingCrim,issue,,,,,,,
mensensmokkel,pos,ontwikkelingCrim,issue,,,,,,,
misdaad,pos,ontwikkelingCrim,issue,,,,,,,
moord*,pos,ontwikkelingCrim,issue,,,,,,,
narco*,pos,ontwikkelingCrim,issue,,,,,,,
nepotis*,pos,ontwikkelingCrim,issue,,,,,,,
onderwereld,pos,ontwikkelingCrim,issue,bedrijven,society,,,,,
onruststoker*,pos,ontwikkelingCrim,issue,burgers,society,,,,,
onrustzaaier*,pos,ontwikkelingCrim,issue,burgers,society,,,,,
ontvoering,pos,ontwikkelingCrim,issue,,,,,,,
onwettig*,pos,ontwikkelingCrim,issue,,,,,,,
oproerkraaier,pos,ontwikkelingCrim,issue,burgers,society,,,,,
paddo,pos,ontwikkelingCrim,issue,,,,,,,
plunder*,pos,ontwikkelingCrim,issue,burgers,society,,,,,
prostitu*,pos,ontwikkelingCrim,issue,burgers,society,,,,,
rel,pos,ontwikkelingCrim,issue,,,,,,,
rellen,pos,ontwikkelingCrim,issue,,,,,,,
relschopper*,pos,ontwikkelingCrim,issue,burgers,society,,,,,
richel,pos,ontwikkelingCrim,issue,,,,,,,
samenscholing*,pos,ontwikkelingCrim,issue,,,,,,,
sekswerk*,pos,ontwikkelingCrim,issue,burgers,society,,,,,
smokkel,pos,ontwikkelingCrim,issue,,,,,,,
softdrugs*,pos,ontwikkelingCrim,issue,,,,,,,
tuig,pos,ontwikkelingCrim,issue,burgers,society,,,,,
vandalen,pos,ontwikkelingCrim,issue,burgers,society,,,,,
vandalisme,pos,ontwikkelingCrim,issue,,,,,,,
veiligheid,neg,ontwikkelingCrim,issue,,,,,,,
verdovende middel*,pos,ontwikkelingCrim,issue,,,,,,,
verniel*,pos,ontwikkelingCrim,issue,,,,,,,
vernielzucht*,pos,ontwikkelingCrim,issue,,,,,,,
voetbalhooligan*,pos,ontwikkelingCrim,issue,burgers,society,,,,,
vuurwerk*,pos,ontwikkelingCrim,issue,,,,,,,
wapenbezit*,pos,ontwikkelingCrim,issue,,,,,,,
wapens,pos,ontwikkelingCrim,issue,,,,,,,
winkeldiefstal,pos,ontwikkelingCrim,issue,,,,,,,
witteboordencriminaliteit,pos,ontwikkelingCrim,issue,,,,,,,
xtc,pos,ontwikkelingCrim,issue,,,,,,,
AOW,pos,socZek,issue,,,,,,,
arbeider*,pos,socZek,issue,,,,,,,
bestaansminimum,pos,socZek,issue,,,,,,,
bestaanszekerheid,pos,socZek,issue,,,,,,,
betalingsregeling,pos,socZek,issue,,,,,,,
bijstand*,pos,socZek,issue,,,,,,,
buitenschoolse opvang,pos,socZek,issue,,,,,,,
Bulgarenaffaire,neg,socZek,issue,,,,,,,
commissierapport,neg,socZek,issue,,,,,,,
compensatieregeling,pos,socZek,issue,,,,,,,
consumentenvertrouwen,pos,socZek,issue,,,,,,,
deurwaarder*,neg,socZek,issue,expert,society,,,,,
fraude*,neg,socZek,issue,,,,,,,
gemeenschapsgeld*,pos,socZek,issue,,,,,,,
glazen plafond,neg,socZek,issue,,,,,,,
huurtoeslag,pos,socZek,issue,,,,,,,
incassobur*,neg,socZek,issue,,,,,,,
inkomen,pos,socZek,issue,,,,,,,
inkomensgelijkheid,pos,socZek,issue,,,,,,,
inkomensverschil*,neg,socZek,issue,,,,,,,
kinderbijslag,pos,socZek,issue,,,,,,,
kinderopvang,pos,socZek,issue,,,,,,,
kinderopvangaffair*,neg,socZek,issue,,,,,,,
koopkracht*,pos,socZek,issue,,,,,,,
levensbehoefte*,pos,socZek,issue,,,,,,,
levensonderhoud,pos,socZek,issue,,,,,,,
meestijg*,pos,socZek,issue,,,,,,,
minimumlo*,pos,socZek,issue,,,,,,,
naschoolse opvang,pos,socZek,issue,,,,,,,
Nibud,pos,socZek,issue,,,,,,,
niveller*,neg,socZek,issue,,,,,,,
ontslag,neg,socZek,issue,,,,,,,
ontslagen,neg,socZek,issue,,,,,,,
pensioen*,pos,socZek,issue,,,,,,,
persoonsgebonden budget,pos,socZek,issue,,,,,,,
rondkomen,pos,socZek,issue,,,,,,,
schadevergoeding,pos,socZek,issue,,,,,,,
schuldeiser*,pos,socZek,issue,bedrijven,society,,,,,
schuldsanering,pos,socZek,issue,,,,,,,
sociale zekerheid*,pos,socZek,issue,,,,,,,
tegemoetkomingsregeling,pos,socZek,issue,,,,,,,
terugvordering,neg,socZek,issue,,,,,,,
toeslagenaffaire,neg,socZek,issue,,,,,,,
toeslagendrama,neg,socZek,issue,,,,,,,
toeslagen-echec,neg,socZek,issue,,,,,,,
uitkering*,pos,socZek,issue,,,,,,,
uitvoeringsloket,pos,socZek,issue,,,,,,,
vangnet,pos,socZek,issue,,,,,,,
verzorgingsstaat,pos,socZek,issue,,,,,,,
werkende klasse,pos,socZek,issue,,,,,,,
werkloosheidsuitkering*,pos,socZek,issue,,,,,,,
werknemersverzekering*,pos,socZek,issue,,,,,,,
wia,pos,socZek,issue,,,,,,,
ww,pos,socZek,issue,,,,,,,
zorgtoeslag,pos,socZek,issue,,,,,,,
zwartwerken,neg,socZek,issue,,,,,,,
aanslag*,neg,terreurbestrijding,issue,,,,,,,
Al Kaida,neg,terreurbestrijding,issue,belangengroep,society,,,,,
Al Qaida,neg,terreurbestrijding,issue,belangengroep,society,,,,,
fundamentalis*,neg,terreurbestrijding,issue,burgers,society,,,,,
inkomensongelijkheid,neg,terreurbestrijding,issue,,,,,,,
ISIS,neg,terreurbestrijding,issue,,,,,,,
jihad*,neg,terreurbestrijding,issue,,,,,,,
moslimfundamentalis*,neg,terreurbestrijding,issue,burgers,society,,,,,
onthoofding,neg,terreurbestrijding,issue,,,,,,,
radicalisme,neg,terreurbestrijding,issue,,,,,,,
Samuel Paty,neg,terreurbestrijding,issue,,,,,,,
syrieganger*,neg,terreurbestrijding,issue,burgers,society,,,,,
terreur*,neg,terreurbestrijding,issue,,,,,,,
terror*,neg,terreurbestrijding,issue,burgers,society,,,,,
#MeToo-beweging,pos,vrijheidsrechten,issue,,,,,,,
*vrijheid,pos,vrijheidsrechten,issue,,,,,,,
black lives matter,pos,vrijheidsrechten,issue,,,,,,,
BLM,pos,vrijheidsrechten,issue,,,,,,,
discriminatieverbod,pos,vrijheidsrechten,issue,,,,,,,
drukpers,pos,vrijheidsrechten,issue,,,,,,,
gegevensbescherming,pos,vrijheidsrechten,issue,,,,,,,
gelijke behandeling,pos,vrijheidsrechten,issue,,,,,,,
gelijkheidsbeginsel,pos,vrijheidsrechten,issue,,,,,,,
grondrecht*,pos,vrijheidsrechten,issue,,,,,,,
grondwet,pos,vrijheidsrechten,issue,,,,,,,
kinderrechten,pos,vrijheidsrechten,issue,,,,,,,
lgbt*,pos,vrijheidsrechten,issue,,,,,,,
lhbt*,pos,vrijheidsrechten,issue,,,,,,,
meningsuiting,pos,vrijheidsrechten,issue,,,,,,,
mensenrecht*,pos,vrijheidsrechten,issue,,,,,,,
persvrijheid,pos,vrijheidsrechten,issue,,,,,,,
privacy*,pos,vrijheidsrechten,issue,,,,,,,
recht op,pos,vrijheidsrechten,issue,,,,,,,
rechtsstaat,pos,vrijheidsrechten,issue,,,,,,,
slavernij,neg,vrijheidsrechten,issue,,,,,,,
universele verklaring,pos,vrijheidsrechten,issue,,,,,,,
verbod op,pos,vrijheidsrechten,issue,,,,,,,
vrije pers,pos,vrijheidsrechten,issue,,,,,,,
vrijheid van,pos,vrijheidsrechten,issue,,,,,,,
vrijheid van godsdienst,pos,vrijheidsrechten,issue,,,,,,,
vrijheid van levensovertuiging,pos,vrijheidsrechten,issue,,,,,,,
vrijheid van vergadering,pos,vrijheidsrechten,issue,,,,,,,
zwarte piet,neg,vrijheidsrechten,issue,,,,,,,
arbeid*,pos,werk,issue,,,,,,,
arbeidsuren,pos,werk,issue,,,,,,,
baan,pos,werk,issue,,,,,,,
banen*,pos,werk,issue,,,,,,,
cao,pos,werk,issue,,,,,,,
deeltijd*,pos,werk,issue,,,,,,,
duobaan,pos,werk,issue,,,,,,,
flexcontract*,pos,werk,issue,,,,,,,
flexwerk*,pos,werk,issue,,,,,,,
lonen,pos,werk,issue,,,,,,,
loon,pos,werk,issue,,,,,,,
loopbaan,pos,werk,issue,,,,,,,
massaontslag,neg,werk,issue,,,,,,,
nulurencontract*,pos,werk,issue,,,,,,,
overwerk,pos,werk,issue,,,,,,,
prestatieloon,pos,werk,issue,,,,,,,
voltijdbaan*,pos,werk,issue,,,,,,,
wachtgeld,pos,werk,issue,,,,,,,
werk,pos,werk,issue,,,,,,,
werkgelegenheid,pos,werk,issue,,,,,,,
werkloos,neg,werk,issue,,,,,,,
werkloosheid,neg,werk,issue,,,,,,,
werklozen,neg,werk,issue,,,,,,,
werknemer*,pos,werk,issue,burgers,society,,,,,
werktijdverkorting,neg,werk,issue,,,,,,,
bouwlocatie*,pos,woning,issue,,,,,,,
bouwproductie,pos,woning,issue,,,,,,,
bouwsector,pos,woning,issue,bedrijven,society,,,,,
bouwvergunning*,pos,woning,issue,,,,,,,
huizenbouw,pos,woning,issue,,,,,,,
huurprij*,pos,woning,issue,,,,,,,
huurverhoging*,neg,woning,issue,,,,,,,
huurwoning*,pos,woning,issue,,,,,,,
hypotheekrente,neg,woning,issue,,,,,,,
hypotheekrenteaftrek,pos,woning,issue,,,,,,,
nieuwbouw,pos,woning,issue,,,,,,,
renovatie,pos,woning,issue,,,,,,,
starterswoning*,pos,woning,issue,,,,,,,
woninbouw,pos,woning,issue,,,,,,,
woningnood,neg,woning,issue,,,,,,,
woningprij*,neg,woning,issue,,,,,,,
woningrenovatie*,pos,woning,issue,,,,,,,
woningvoorraad,pos,woning,issue,,,,,,,
